06.05.2012 1:22:36     GET DATA    00 03 00 00 00 07 01 03 04 01 4C 00 00 
06.05.2012 1:22:37     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:37     GET DATA    00 02 00 00 00 05 01 03 02 00 FC 
06.05.2012 1:22:37     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:37     GET DATA    00 01 00 00 00 07 01 03 04 00 A8 00 00 
06.05.2012 1:22:37     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:37     GET DATA    00 00 00 00 00 05 01 03 02 00 54 
06.05.2012 1:22:37     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:37     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:37     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:37     GET DATA    00 04 00 00 00 05 01 03 02 F8 A4 
06.05.2012 1:22:37     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:37     GET DATA    00 03 00 00 00 07 01 03 04 01 50 00 00 
06.05.2012 1:22:38     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:38     GET DATA    00 02 00 00 00 05 01 03 02 00 FF 
06.05.2012 1:22:38     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:38     GET DATA    00 01 00 00 00 07 01 03 04 00 AA 00 00 
06.05.2012 1:22:38     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:38     GET DATA    00 00 00 00 00 05 01 03 02 00 55 
06.05.2012 1:22:38     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:38     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:38     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:38     GET DATA    00 04 00 00 00 05 01 03 02 FE A9 
06.05.2012 1:22:38     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:38     GET DATA    00 03 00 00 00 07 01 03 04 01 54 00 00 
06.05.2012 1:22:39     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:39     GET DATA    00 02 00 00 00 05 01 03 02 01 02 
06.05.2012 1:22:39     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:39     GET DATA    00 01 00 00 00 07 01 03 04 00 AC 00 00 
06.05.2012 1:22:39     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:39     GET DATA    00 00 00 00 00 05 01 03 02 00 56 
06.05.2012 1:22:39     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:40     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:40     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:40     GET DATA    00 04 00 00 00 05 01 03 02 04 AE 
06.05.2012 1:22:40     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:40     GET DATA    00 03 00 00 00 07 01 03 04 01 58 00 00 
06.05.2012 1:22:40     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:40     GET DATA    00 02 00 00 00 05 01 03 02 01 05 
06.05.2012 1:22:40     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:40     GET DATA    00 01 00 00 00 07 01 03 04 00 AE 00 00 
06.05.2012 1:22:40     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:40     GET DATA    00 00 00 00 00 05 01 03 02 00 57 
06.05.2012 1:22:40     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:40     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:40     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:40     GET DATA    00 04 00 00 00 05 01 03 02 0A B3 
06.05.2012 1:22:40     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:40     GET DATA    00 03 00 00 00 07 01 03 04 01 5C 00 00 
06.05.2012 1:22:41     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:41     GET DATA    00 02 00 00 00 05 01 03 02 01 08 
06.05.2012 1:22:41     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:41     GET DATA    00 01 00 00 00 07 01 03 04 00 B0 00 00 
06.05.2012 1:22:41     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:41     GET DATA    00 00 00 00 00 05 01 03 02 00 58 
06.05.2012 1:22:41     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:41     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:41     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:41     GET DATA    00 04 00 00 00 05 01 03 02 10 B8 
06.05.2012 1:22:41     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:41     GET DATA    00 03 00 00 00 07 01 03 04 01 60 00 00 
06.05.2012 1:22:42     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:42     GET DATA    00 02 00 00 00 05 01 03 02 01 0B 
06.05.2012 1:22:42     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:42     GET DATA    00 01 00 00 00 07 01 03 04 00 B2 00 00 
06.05.2012 1:22:42     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:42     GET DATA    00 00 00 00 00 05 01 03 02 00 59 
06.05.2012 1:22:42     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:42     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:42     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:42     GET DATA    00 04 00 00 00 05 01 03 02 16 BD 
06.05.2012 1:22:42     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:42     GET DATA    00 03 00 00 00 07 01 03 04 01 64 00 00 
06.05.2012 1:22:43     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:43     GET DATA    00 02 00 00 00 05 01 03 02 01 0E 
06.05.2012 1:22:43     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:43     GET DATA    00 01 00 00 00 07 01 03 04 00 B4 00 00 
06.05.2012 1:22:43     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:43     GET DATA    00 00 00 00 00 05 01 03 02 00 5A 
06.05.2012 1:22:43     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:43     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:43     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:43     GET DATA    00 04 00 00 00 05 01 03 02 1C C2 
06.05.2012 1:22:43     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:43     GET DATA    00 03 00 00 00 07 01 03 04 01 68 00 00 
06.05.2012 1:22:44     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:44     GET DATA    00 02 00 00 00 05 01 03 02 01 11 
06.05.2012 1:22:44     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:44     GET DATA    00 01 00 00 00 07 01 03 04 00 B6 00 00 
06.05.2012 1:22:44     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:44     GET DATA    00 00 00 00 00 05 01 03 02 00 5B 
06.05.2012 1:22:44     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:44     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:44     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:44     GET DATA    00 04 00 00 00 05 01 03 02 22 C7 
06.05.2012 1:22:44     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:44     GET DATA    00 03 00 00 00 07 01 03 04 01 6C 00 00 
06.05.2012 1:22:45     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:45     GET DATA    00 02 00 00 00 05 01 03 02 01 14 
06.05.2012 1:22:45     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:45     GET DATA    00 01 00 00 00 07 01 03 04 00 B8 00 00 
06.05.2012 1:22:45     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:45     GET DATA    00 00 00 00 00 05 01 03 02 00 5C 
06.05.2012 1:22:45     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:45     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:45     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:45     GET DATA    00 04 00 00 00 05 01 03 02 28 CC 
06.05.2012 1:22:45     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:45     GET DATA    00 03 00 00 00 07 01 03 04 01 70 00 00 
06.05.2012 1:22:46     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:46     GET DATA    00 02 00 00 00 05 01 03 02 01 17 
06.05.2012 1:22:46     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:46     GET DATA    00 01 00 00 00 07 01 03 04 00 BA 00 00 
06.05.2012 1:22:46     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:46     GET DATA    00 00 00 00 00 05 01 03 02 00 5D 
06.05.2012 1:22:46     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
